t,x,y,z
-54722138.3912032991647720,-142336861.4951122701168060,-42765951.8900977447628975,-18541415.2830674871802330
-54092937.6234354600310326,-135716892.9288005530834198,-58791775.6607408449053764,-25490054.4545585848391056
-53463736.8556676208972931,-126994359.8929491490125656,-73913949.8306371271610260,-32045936.6221331730484962
-52834536.0878997892141342,-116302287.0380484014749527,-87898994.1749245822429657,-38108868.2533424645662308
-52205335.3201319426298141,-103824944.9049592614173889,-100525970.6441886872053146,-43583993.8661980181932449
-51576134.5523641109466553,-89773132.1733626276254654,-111619129.6513637602329254,-48393795.9836387857794762
-50946933.7845962718129158,-74358225.7855935692787170,-121027298.3860876411199570,-52472163.1872154995799065
-50317733.0168284326791763,-57808661.0048787593841553,-128604940.9516330659389496,-55757425.6800534427165985
-49688532.2490606009960175,-40391764.5354302227497101,-134237126.7333836555480957,-58199960.8210912421345711
-49059331.4812927544116974,-22377762.1967954337596893,-137858318.7700858414173126,-59769935.1496458351612091
-48430130.7135249227285385,-4024524.9007020262070000,-139424874.9981148838996887,-60448466.9945481345057487
-47800929.9457570835947990,14397957.0747700128704309,-138903084.2717921435832977,-60222465.5399673506617546
-47171729.1779892444610596,32598963.9790199473500252,-136301561.8028102815151215,-59095154.7436090633273125
-46542528.4102214127779007,50306631.3635141402482986,-131673677.8548590838909149,-57088380.2014778628945351
-45913327.6424535736441612,67271577.9270994812250137,-125087693.1706555336713791,-54232412.0007812380790710
-45284126.8746857345104218,83237520.4930790960788727,-116625044.8536976128816605,-50563851.7789309173822403
-44654926.1069179028272629,97949099.7950979471206665,-106413659.7262052893638611,-46137068.2436612769961357
-44025725.3391500562429428,111187510.4721101522445679,-94615022.1168310344219208,-41021116.1768123880028725
-43396524.5713822245597839,122763076.8263488709926605,-81395612.3286743611097336,-35289395.8290909975767136
-42767323.8036143854260445,132485903.0262115895748138,-66937206.4259067475795746,-29021487.4498160406947136
-42138123.0358465462923050,140189312.1360887289047241,-51463394.5535768121480942,-22312908.5125894024968147
-41508922.2680787146091461,145755722.2625442147254944,-35214962.2345299422740936,-15267580.7448128219693899
-40879721.5003108754754066,149099216.3596919178962708,-18425542.9702728800475597,-7988352.2062772167846560
-40250520.7325430363416672,150141987.1811130940914154,-1343151.6108620385639369,-582828.3253454209771007
-39621319.9647751972079277,148848213.8021063506603241,15756448.4454099256545305,6830888.4361313730478287
-38992119.1970073580741882,145236722.9847473502159119,32601063.7861611172556877,14134687.3918829876929522
-38362918.4292395263910294,139354802.4942267835140228,48939348.8526961356401443,21218017.7399171516299248
-37733717.6614716872572899,131265349.4154309481382370,64511528.9336517974734306,27968872.9710478223860264
-37104516.8937038481235504,121083147.3532157689332962,79051927.1929698288440704,34273293.8678963780403137
-36475316.1259360164403915,108973012.1664714366197586,92321662.4598444402217865,40027030.4151943922042847
-35846115.3581681773066521,95116973.8129372298717499,104115575.3306045234203339,45139868.9191659092903137
-35216914.5904003381729126,79714782.9899217188358307,114230487.6956957727670670,49524889.0233428403735161
-34587713.8226324990391731,63014454.5615197867155075,122481820.5190220028162003,53102861.1431809440255165
-33958513.0548646599054337,45296576.0007941350340843,128732434.2378215044736862,55813150.9958479106426239
-33329312.2870968282222748,26839098.9732291735708714,132885961.8476458042860031,57613303.3440610915422440
-32700111.5193289890885353,7931242.5366469481959939,134858284.8028224110603333,58468314.5575661882758141
-32070910.7515611499547958,-11107027.8258346319198608,134602925.2971428632736206,58358277.4445108324289322
-31441709.9837933108210564,-29951735.0617976784706116,132131393.2541013509035110,57286706.7044451311230659
-30812509.2160254791378975,-48305542.6035146191716194,127491550.4734493046998978,55274412.5349254310131073
-30183308.4482576400041580,-65872689.3646071702241898,120747417.5323881059885025,52350628.8951946571469307
-29554107.6804898008704185,-82351751.8956814259290695,112007179.2981046587228775,48561913.3136930689215660
-28924906.9127219617366791,-97468794.3035783767700195,101431980.4345878511667252,43976643.1972730755805969
-28295706.1449541226029396,-110995363.4176793098449707,89202020.2412574142217636,38673705.7847133353352547
-27666505.3771862909197807,-122716628.5033820569515228,75508639.5061387121677399,32737281.1178433150053024
-27037304.6094184517860413,-132434611.1078155934810638,60580444.5458299070596695,26265593.8055500835180283
-26408103.8416506126523018,-140002530.0425639152526855,44679646.4651143550872803,19371150.8971789926290512
-25778903.0738827735185623,-145324326.7916434407234192,28063014.2309136912226677,12166545.6191567182540894
-25149702.3061149418354034,-148322276.7243341207504272,10987980.4855942353606224,4764156.9862901093438268
-24520501.5383471027016640,-148948350.0821541547775269,-6265434.0822040997445583,-2715907.4794241604395211
-23891300.7705792635679245,-147215061.0137974619865417,-23410001.8043172657489777,-10149703.7211919520050287
-23262100.0028114244341850,-143175763.2620089054107666,-40186261.8744457438588142,-17423252.5933689102530479
-22632899.2350435927510262,-136898463.2656535804271698,-56343929.6875718012452126,-24427845.3177868798375130
-22003698.4672757536172867,-128483655.9532652795314789,-71625513.2280378937721252,-31053335.6401087753474712
-21374497.6995079144835472,-118087468.3109537363052368,-85791687.1485514193773270,-37195807.0050292313098907
-20745296.9317400753498077,-105887172.6739828884601593,-98644181.9878116399049759,-42767899.8326789215207100
-20116096.1639722436666489,-92066132.8793292045593262,-109999186.2146072089672089,-47690323.5711435303092003
-19486895.3962044045329094,-76836738.8701539635658264,-119677991.9302330762147903,-51887008.8247004747390747
-18857694.6284365653991699,-60451796.5142929330468178,-127539373.4159723073244095,-55295856.3720454499125481
-18228493.8606687262654305,-43163037.3333695083856583,-133485861.6625339984893799,-57873554.7011014521121979
-17599293.0929008871316910,-25218950.8961945064365864,-137434771.3586275577545166,-59585196.2293575033545494
-16970092.3251330554485321,-6890746.1469296142458916,-139317620.5132478773593903,-60402131.2116149961948395
-16340891.5573652163147926,11531204.9899679236114025,-139114612.2380494773387909,-60314388.1707485541701317
-15711690.7895973771810532,29777223.3209459893405437,-136843962.9736535549163818,-59329320.1516608819365501
-15082490.0218295380473137,47588689.8251406475901604,-132535450.1881030201911926,-57461167.2367578595876694
-14453289.2540617063641548,64692429.0968629345297813,-126239919.3674214780330658,-54732421.6766502112150192
-13824088.4862938672304153,80819995.6380602717399597,-118059273.2643654942512512,-51185660.6507460623979568
-13194887.7185260280966759,95738576.5365276634693146,-108122133.1097041815519333,-46876679.4150499477982521
-12565686.9507581889629364,109232115.5343106836080551,-96563160.5493380278348923,-41865365.1537343934178352
-11936486.1829903572797775,121080615.3908114880323410,-83542535.6137589663267136,-36220888.7328840643167496
-11307285.4152225181460381,131092168.5802263915538788,-69264637.3667701184749603,-30030387.6866276264190674
-10678084.6474546790122986,139120324.4382824897766113,-53945541.7304442897439003,-23388126.0547794885933399
-10048883.8796868398785591,145038753.0952070951461792,-37799937.7253752201795578,-16388563.9451270513236523
-9419683.1119190007448196,148730178.2302426695823669,-21068145.8193363286554813,-9134952.8632586169987917
-8790482.3441511690616608,150124451.0371009409427643,-4018705.3649033741094172,-1742645.2820585421286523
-8161281.5763833299279213,149200729.0467012822628021,13086242.7791149467229843,5673668.3417244050651789
-7532080.8086154907941818,145958202.7344768047332764,29995313.7941147014498711,13004037.6459276415407658
-6902880.0408476516604424,140417927.7001325488090515,46438067.3581032082438469,20132597.3353424407541752
-6273679.2730798199772835,132658075.0778752863407135,62139341.9087606817483902,26940544.2026811204850674
-5644478.5053119808435440,122801662.0118252187967300,76850463.1157803237438202,33318724.3724606633186340
-5015277.7375441417098045,110985935.0987777113914490,90343779.6119673401117325,39168129.5388950183987617
-4386076.9697763025760651,97377451.9490117877721786,102385912.9012098312377930,44389098.6049973070621490
-3756876.2020084708929062,82196287.5556923002004623,112765194.7412859797477722,48889722.2252702489495277
-3127675.4342406317591667,65691776.8757445290684700,121314836.6665096879005432,52596260.7259329780936241
-2498474.6664727926254272,48114177.8160877153277397,127896665.5062705129384995,55449249.1555002629756927
-1869273.8987049609422684,29740335.1669319868087769,132382545.5271155834197998,57394474.5936028063297272
-1240073.1309371143579483,10882235.9005545005202293,134687702.8418644070625305,58394461.8853383585810661
-610872.3631692826747894,-8145210.2687245598062873,134782270.0501992106437683,58434998.5432391613721848
18328.4045985490083694,-27044932.2590544261038303,132664511.9124058336019516,57516442.0106442198157310
647529.1723663955926895,-45505966.7770591378211975,128353603.3060410469770432,55648017.1724484413862228
1276729.9401342272758484,-63210170.5761046037077904,121921168.6135612428188324,52859609.7065173387527466
1905930.7079020738601685,-79866967.1185865104198456,113489320.7534551918506622,49203316.0890990868210793
2535131.4756699055433273,-95220503.7065669894218445,103196682.3371405154466629,44740771.5963739901781082
3164332.2434377372264862,-109017149.7981692552566528,91203733.4421125203371048,39541892.1825125291943550
3793533.0112055838108063,-121023423.4748967885971069,77717312.0415908098220825,33694937.4866926968097687
4422733.7789734154939651,-131057441.1642449796199799,62975625.6435785889625549,27302955.3619832880795002
5051934.5467412620782852,-138978497.9817139506340027,47213927.7209889814257622,20469559.6990638151764870
5681135.3145090937614441,-144659516.5897336900234222,30681679.4111133962869644,13302640.5256961248815060
6310336.0822769254446030,-148011345.9823273122310638,13657984.7051666956394911,5921782.1037088902667165
6939536.8500447720289230,-149006043.9722069203853607,-3573905.1812068140134215,-1549733.1102825736161321
7568737.6178126037120819,-147649678.8633670508861542,-20752784.8021648488938808,-8997302.0278343111276627
8197938.3855804353952408,-143965054.6268063485622406,-37613744.7741374149918556,-16306874.8288597371429205
8827139.1533482819795609,-138018659.7689853608608246,-53881869.1784755662083626,-23360431.0833408161997795
9456339.9211161136627197,-129932284.1905392259359360,-69304555.6173830032348633,-30047343.8292055167257786
10085540.6888839602470398,-119844947.6548525542020798,-83662783.9156368374824524,-36271827.1025311723351479
10714741.4566517919301987,-107909059.6923406720161438,-96742204.1694253683090210,-41942146.4940393865108490
11343942.2244196236133575,-94317406.6114262789487839,-108335594.4664727002382278,-46969142.0760978311300278
11973142.9921874701976776,-79300777.1629852801561356,-118277496.4353657215833664,-51279567.0729738101363182
12602343.7599553018808365,-63087874.2106046825647354,-126437888.5918900072574615,-54816877.2270918413996696
13231544.5277231484651566,-45914669.8961172327399254,-132696018.2485547959804535,-57530116.5727003291249275
13860745.2954909801483154,-28049020.6061448901891708,-136951314.6025321781635284,-59375712.6784340143203735
14489946.0632588118314743,-9773490.5026967935264111,-139154907.1892358362674713,-60330894.2420180812478065
15119146.8310266584157944,8647963.8951828461140394,-139287629.2492537200450897,-60387819.4422783777117729
15748347.5987944900989532,26950554.1418095193803310,-137341036.3802842497825623,-59544194.1386944279074669
16377548.3665623217821121,44849305.7015275657176971,-133336141.8061564117670059,-57808469.9721431732177734
17006749.1343301683664322,62069392.3956609666347504,-127345877.7681520134210587,-55210952.5999063998460770
17635949.9020980000495911,78366354.9310145229101181,-119462753.1691995114088058,-51792733.8111658468842506
18265150.6698658466339111,93500886.2269900292158127,-109789192.4115489423274994,-47599316.5037222057580948
18894351.4376336783170700,107228084.7967105060815811,-98462370.9611437618732452,-42688940.0309836268424988
19523552.2054015100002289,119336177.2389605790376663,-85662470.8058871924877167,-37138940.7625013887882233
20152752.9731693565845490,129650893.9878811836242676,-71576757.7971405386924744,-31031816.8787768520414829
20781953.7409371882677078,138008491.2425332367420197,-56399429.4721597209572792,-24452367.3643389008939266
21411154.5087050348520279,144256611.8278428912162781,-40359113.7058828398585320,-17498160.9960734210908413
22040355.2764728665351868,148293841.0054293870925903,-23710271.4484615623950958,-10279401.2645541522651911
22669556.0442406982183456,150058849.1728975474834442,-6700051.8901892518624663,-2904649.0198565991595387
23298756.8120085448026657,149504704.4833494126796722,10423173.0195052623748779,4518459.5971031263470650
23927957.5797763764858246,146612614.2945759892463684,27384710.2435059472918510,11872364.2576320469379425
24557158.3475442081689835,141423554.4807544350624084,43907756.4695597738027573,19036522.8108063377439976
25186359.1153120547533035,134015059.2590293437242508,59738911.8221086263656616,25899792.7681165039539337
25815559.8830798864364624,124479103.9649596959352493,74631952.8286099582910538,32356160.1005526930093765
26444760.6508477330207825,112947029.4448787420988083,88330605.9608112424612045,38295695.5462261363863945
27073961.4186155647039413,99605825.6045919656753540,100602894.5845981538295746,43616772.0829856619238853
27703162.1863833963871002,84666615.1901666224002838,111255791.7376925200223923,48234763.0702431946992874
28332362.9541512429714203,68348401.7244826108217239,120112192.4269441217184067,52074197.9386459887027740
28961563.7219190746545792,50909508.3238111287355423,127005490.6202153414487839,55063429.5235370174050331
29590764.4896869063377380,32645140.7209180779755116,131815645.9758192747831345,57149053.5082429274916649
30219965.2574547529220581,13852353.7839715220034122,134471077.4729135632514954,58299609.5272362157702446
30849166.0252225846052170,-5177249.5841951770707965,134920242.6449362337589264,58494380.7699781507253647
31478366.7929904311895370,-24125606.3387520723044872,133139069.1573400646448135,57722833.2076814174652100
32107567.5607582628726959,-42667283.7686446234583855,129160316.1401278823614120,55997745.9340991005301476
32736768.3285260945558548,-60502518.8379103466868401,123062353.1434811502695084,53353282.1089382916688919
33365969.0962939411401749,-77352027.8036186993122101,114938599.9078322947025299,49831538.5974227562546730
33995169.8640617728233337,-92930198.8696967363357544,104916242.0151013135910034,45486938.0400674417614937
34624370.6318296194076538,-106974599.9556148797273636,93173573.1966350376605988,40395536.5298889875411987
35253571.3995974510908127,-119271469.2069622129201889,79917446.3119257539510727,34647811.9673869535326958
35882772.1673652827739716,-129636073.1248089224100113,65356370.9906371757388115,28335374.4888641871511936
36511972.9351331293582916,-137895461.0729095637798309,49727283.1941756084561348,21559779.4090132191777229
37141173.7029009610414505,-143921262.1221519112586975,33299801.0605598762631416,14437075.4058193974196911
37770374.4706687927246094,-147643381.4065485000610352,16346153.5198745932430029,7086571.9141200408339500
38399575.2384366393089294,-149017958.6686137020587921,-875149.3950255626114085,-379080.8752567500341684
39028776.0062044709920883,-148022816.4364454448223114,-18089059.4667593725025654,-7842027.1713237697258592
39657976.7739723175764084,-144688174.2560215294361115,-35011009.4162249118089676,-15179174.8756859786808491
40287177.5417401492595673,-139096343.2748255133628845,-51379666.4320822134613991,-22275700.6080885231494904
40916378.3095079809427261,-131343835.3078370392322540,-66957626.4757880344986916,-29028850.6121240071952343
41545579.0772758275270462,-121550360.5249368250370026,-81503292.3593343794345856,-35335261.1406545639038086
42174779.8450436592102051,-109884261.9387154579162598,-94786542.3368022739887238,-41094799.9575180560350418
42803980.6128115057945251,-96547821.2374285757541656,-106619086.2721181660890579,-46224396.0183113217353821
43433181.3805793374776840,-81742458.0091258585453033,-116838723.5327965617179871,-50654561.2354580238461494
44062382.1483471691608429,-65689009.6032498925924301,-125288657.0647989958524704,-54318460.5469142347574234
44691582.9161150157451630,-48645947.8689959123730659,-131839444.7823643535375595,-57158989.1768476516008377
45320783.6838828474283218,-30881685.0255606286227703,-136411848.7454197704792023,-59140760.2263744771480560
45949984.4516506791114807,-12650998.1039327904582024,-138948410.1401136815547943,-60240148.4361255839467049
46579185.2194185256958008,5778214.7102416297420859,-139403455.7556494474411011,-60438082.9987523853778839
47208385.9871863573789597,24115586.1902404092252254,-137769121.8637695908546448,-59729709.8673964515328407
47837586.7549542039632797,42085392.0349370092153549,-134086010.7015813440084457,-58132232.7641065567731857
48466787.5227220356464386,59434080.8298459798097610,-128408871.9454965740442276,-55670851.7596469819545746
49095988.2904898673295975,75902558.4214930683374405,-120807795.4072420448064804,-52376145.3028914257884026
49725189.0582577139139175,91227302.0295634418725967,-111395634.7153079807758331,-48295415.4438083544373512
50354389.8260255455970764,105180889.8652046769857407,-100323289.4323250502347946,-43494393.3069188445806503
50983590.5937933921813965,117562936.6761557459831238,-87746924.1907176077365875,-38042150.1818746328353882
51612791.3615612238645554,128175954.2145728021860123,-73838626.7294595092535019,-32012889.4181887246668339
52241992.1293290555477142,136837903.8263629674911499,-58811565.4218687638640404,-25497564.8835764974355698
52871192.8970969021320343,143418406.9420342743396759,-42899514.8813800290226936,-18598457.2226773537695408
53500393.6648647338151932,147816126.0802625119686127,-26331564.2851598151028156,-11415925.2361677661538124
54129594.4326325654983521,149940992.0244992077350616,-9349492.8599747922271490,-4053828.1049269642680883
54758795.2004004120826721,149737462.4597129225730896,7773880.5355358365923166,3370536.2229229449294508
55387995.9681682437658310,147208575.7353088259696960,24767715.0480994395911694,10738407.3950410559773445
56017196.7359360903501511,142384690.4772827327251434,41377526.2734112516045570,17938912.1887705102562904
56646397.5037039220333099,135313307.7078842818737030,57343768.7956189438700676,24860898.6341587752103806
57275598.2714717537164688,126089641.1025667488574982,72394606.0247914195060730,31386798.5868531800806522
57904799.0392396003007889,114862756.6499386727809906,86284806.7741091996431351,37408813.4773282408714294
58533999.8070074319839478,101800823.9616558700799942,98798062.0942944437265396,42833208.4137838408350945
59163200.5747752636671066,87089023.9927376657724380,109723586.6280294954776764,47570124.8769839629530907
59792401.3425431102514267,70961524.2895019650459290,118862320.3983725309371948,51532806.6285504028201103
60421602.1103109419345856,53688142.0787553340196609,126062941.1716714501380920,54654296.0050016343593597
61050802.8780787885189056,35540872.1070022284984589,131212346.5130684226751328,56886196.5336430743336678
61680003.6458466202020645,16800596.0069327540695667,134211995.6121472865343094,58187145.1678421646356583
62309204.4136144518852234,-2216233.6872800993733108,134996583.5578413903713226,58527764.1899407058954239
62938405.1813822984695435,-21186657.7815482541918755,133558909.3747283369302750,57903929.4146767258644104
63567605.9491501301527023,-39808771.2833426743745804,129929758.0362482368946075,56330128.7499606832861900
64196806.7169179767370224,-57785079.0818438753485680,124156440.1637975126504898,53827755.0173908397555351
64826007.4846858084201813,-74806341.3557204455137253,116330066.4473657459020615,50434890.1699401214718819
65455208.2524536550045013,-90588400.4018757045269012,106594513.2757304459810257,46213416.2955017462372780
66084409.0202214717864990,-104889415.1868257820606232,95118429.1016817688941956,41237906.9941756799817085
66713609.7879893183708191,-117483104.2067651599645615,82080063.5959880650043488,35585833.7614370435476303
67342810.5557571649551392,-128155842.2404096275568008,67697917.0549642592668533,29350460.1792321167886257
67972011.3235249817371368,-136742421.1266651749610901,52223998.6117431819438934,22641136.9421081319451332
68601212.0912928283214569,-143129881.2568098604679108,35912351.7392091527581215,15569512.4923309851437807
69230412.8590606749057770,-147223538.7040909528732300,19015025.0463343374431133,8244311.7201551795005798
69859613.6268284916877747,-148957709.6333883702754974,1810697.4899236289784312,785118.8883640931453556
70488814.3945963382720947,-148324026.5730133056640625,-15413911.8970321416854858,-6683083.8209525784477592
