t,x,y,z
13860745.2954909801483154,319237591.8568463921546936,425954125.9520618319511414,177055931.4337193071842194
14489946.0632588118314743,318551629.6237720251083374,435087747.5972279310226440,180911069.0228533148765564
15119146.8310266584157944,317775940.7941619753837585,444097949.3249216675758362,184714997.1950198113918304
15748347.5987944900989532,316914287.8458197116851807,452987199.1197443008422852,188468579.5078831613063812
16377548.3665623217821121,315970367.9849662780761719,461757929.5889796614646912,192172809.5801446139812469
17006749.1343301683664322,314947686.8092946410179138,470412499.8627079725265503,195828651.2327363789081573
17635949.9020980000495911,313849575.3964614868164062,478953200.6149537563323975,199437040.4081978201866150
18265150.6698658466339111,312679206.8666689991950989,487382259.5345034599304199,202998887.2413119673728943
18894351.4376336783170700,311439613.0122293233871460,495701847.3833835721015930,206515078.3017630577087402
19523552.2054015100002289,310133701.2254328727722168,503914085.4361064434051514,209986479.4341373741626740
20152752.9731693565845490,308764269.8602135181427002,512021055.4357945919036865,213413939.9632481038570404
20781953.7409371882677078,307334021.9561794996261597,520024809.0188837647438049,216798296.6235422492027283
21411154.5087050348520279,305845581.3727191686630249,527927374.2586788535118103,220140375.7993144392967224
22040355.2764728665351868,304301514.2712644934654236,535730773.0073544979095459,223441000.2125607728958130
22669556.0442406982183456,302704350.5626475811004639,543437034.4264194965362549,226700994.0494815409183502
23298756.8120085448026657,301056610.4227837920188904,551048218.8354424238204956,229921192.3164738118648529
23927957.5797763764858246,299360835.9646338820457458,558566444.8650519847869873,233102451.3125929534435272
24557158.3475442081689835,297619638.2599802017211914,565993948.9655498266220093,236245671.9318431317806244
25186359.1153120547533035,295835750.8332880139350891,573333133.5977866649627686,239351819.1222565770149231
25815559.8830798864364624,294012111.3000937700271606,580586667.2835048437118530,242421961.1091299951076508
26444760.6508477330207825,292151980.6506124734878540,587757641.7407554388046265,245457331.6217770874500275
27073961.4186155647039413,290259123.1274656057357788,594849832.4515275955200195,248459433.8170825541019440
27703162.1863833963871002,288338085.6418303251266479,601868163.2107849121093750,251430227.3365737795829773
28332362.9541512429714203,286394643.6818235516548157,608819590.1138828992843628,254372486.9914373755455017
28961563.7219190746545792,284436511.8696621656417847,615714931.3336861133575439,257290552.1693824529647827
29590764.4896869063377380,282474314.7561459541320801,622573098.9860500097274780,260192084.6823017597198486
30219965.2574547529220581,280521495.1711038351058960,629432002.5680197477340698,263092692.5224905312061310
30849166.0252225846052170,278580891.4059657454490662,636377030.8248573541641235,266028497.9047049582004547
31478366.7929904311895370,276554750.7295708060264587,643564063.3361115455627441,269069126.3491392135620117
32107567.5607582628726959,274186020.0336432456970215,650990833.2677000761032104,272222992.7583647966384888
32736768.3285260945558548,271463814.5429583787918091,658420732.6240667104721069,275390265.9249127507209778
33365969.0962939411401749,268534897.3611636757850647,665755295.0580241680145264,278523916.1635634899139404
33995169.8640617728233337,265482838.1628656387329102,672985932.4885557889938354,281617293.2762031555175781
34624370.6318296194076538,262346743.6805613636970520,680118399.6050711870193481,284671439.6490585207939148
35253571.3995974510908127,259146834.2562738358974457,687158799.7255313396453857,287688231.1355197429656982
35882772.1673652827739716,255894851.5045900046825409,694111996.0595843791961670,290669325.8886896967887878
36511972.9351331293582916,252598302.5946085751056671,700981767.5216799974441528,293616075.7017075419425964
37141173.7029009610414505,249262352.6796361505985260,707770986.3339916467666626,296529358.7919865250587463
37770374.4706687927246094,245890841.0171054899692535,714482178.9853585958480835,299410260.2789118885993958
38399575.2384366393089294,242486699.9211226403713226,721117455.2545046806335449,302259608.3287228941917419
39028776.0062044709920883,239052301.6643971502780914,727678577.5019130706787109,305078104.8049721717834473
39657976.7739723175764084,235589614.0441286265850067,734167105.1723856925964355,307866358.2572985887527466
40287177.5417401492595673,232100316.2962723076343536,740584436.4425615072250366,310624918.7076242566108704
40916378.3095079809427261,228585871.7421247661113739,746931841.4451358318328857,313354289.0688793659210205
41545579.0772758275270462,225047579.0236986875534058,753210488.8767507076263428,316054934.5367096066474915
42174779.8450436592102051,221486607.8142592310905457,759421463.2128310203552246,318727288.5344036221504211
42803980.6128115057945251,217904024.9690229892730713,765565781.5542520284652710,321371759.1259927749633789
43433181.3805793374776840,214300808.6241637766361237,771644398.9982664585113525,323988730.4948650002479553
44062382.1483471691608429,210677865.4844173192977905,777658228.9932345151901245,326578571.4265534877777100
44691582.9161150157451630,207036043.7158399224281311,783608145.0310540199279785,329141636.9874309301376343
45320783.6838828474283218,203376137.4177550673484802,789494980.7992088794708252,331678265.7591519951820374
45949984.4516506791114807,199698894.2291505932807922,795319533.0134762525558472,334188781.8192185759544373
46579185.2194185256958008,196005020.9132975339889526,801082564.4322609901428223,336673495.8534008860588074
47208385.9871863573789597,192295188.6802651584148407,806784809.5470358133316040,339132707.4274676442146301
47837586.7549542039632797,188570036.1070123612880707,812426975.1485775709152222,341566705.1140947341918945
48466787.5227220356464386,184830174.6171863675117493,818009751.8295605182647705,343975771.2389212846755981
49095988.2904898673295975,181076188.4139923155307770,823533813.4965586662292480,346360178.8750541210174561
49725189.0582577139139175,177308640.1650380790233612,828999811.1306518316268921,348720193.9340190887451172
50354389.8260255455970764,173528067.9027770757675171,834408373.3152087926864624,351056066.7812266349792480
50983590.5937933921813965,169734997.5281763970851898,839760119.4966920614242554,353368058.4114431142807007
51612791.3615612238645554,165929925.5697534382343292,845055647.3791174888610840,355656407.4068452715873718
52241992.1293290555477142,162113337.7985149919986725,850295543.3388695716857910,357921360.9398066997528076
52871192.8970969021320343,158285701.5856833755970001,855480381.0104562044143677,360163158.2912949919700623
53500393.6648647338151932,154447465.9456731975078583,860610714.4693564176559448,362382026.3883767127990723
54129594.4326325654983521,150599064.2092704176902771,865687088.4186978340148926,364578187.0890231728553772
54758795.2004004120826721,146740917.7019183337688446,870710032.4761955738067627,366751860.0997301340103149
55387995.9681682437658310,142873434.1302245259284973,875680065.0511099100112915,368903260.1249188184738159
56017196.7359360903501511,138997007.4300696849822998,880597695.4942786693572998,371032597.0423998236656189
56646397.5037039220333099,135112019.3922846317291260,885463419.3328266143798828,373140075.0176475048065186
57275598.2714717537164688,131218840.0830420255661011,890277722.0832616090774536,375225891.7109997272491455
57904799.0392396003007889,127317830.9382400065660477,895041080.8593423366546631,377290242.9639775156974792
58533999.8070074319839478,123409344.7687176018953323,899753963.4930597543716431,379333324.7371172308921814
59163200.5747752636671066,119493720.3994267880916595,904416829.6621540784835815,381355327.0289652347564697
59792401.3425431102514267,115571285.8369055390357971,909030131.5140398740768433,383356436.8628229498863220
60421602.1103109419345856,111642359.4291602522134781,913594308.5505518913269043,385336835.8782187104225159
61050802.8780787885189056,107707250.8658408969640732,918109794.3116997480392456,387296703.1229612827301025
61680003.6458466202020645,103766260.8508622050285339,922577012.5137912034988403,389236213.9526219964027405
